Brand,Model,Accel(),TopSpeed(km/h),Range(km),Efficiency(Wh/km),FastCharge(km/h),RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,PriceIndian
Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,D,5,55480,4821767
Volkswagen ,ID.3 Pure,10,160,270,167,250,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,30000,2607300
Polestar ,2,4.7,210,400,181,620,Rapid charging possible,All Wheel Drive,Type 2 CCS,Liftback,D,5,56440,4905200
BMW ,iX3 ,6.8,180,360,206,560,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,68040,5913356
Honda ,e ,9.5,145,170,168,190,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,32997,2867769
Lucid ,Air ,2.8,250,610,180,620,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,5,105000,9125550
Volkswagen ,e-Golf ,9.6,150,190,168,220,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,31900,2772429
Peugeot ,e-208 ,8.1,150,275,164,420,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,29682,2579663
Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,46380,4030886
Audi ,Q4 e-tron ,6.3,180,400,193,540,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,55000,4780050
Mercedes ,EQC 400 4MATIC,5.1,180,370,216,440,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,69484,6038854
Nissan ,Leaf ,7.9,144,220,164,230,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,29234,2540727
Hyundai ,Kona Electric 64 kWh,7.9,167,400,160,380,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,40795,3545493
BMW ,i4 ,4,200,450,178,650,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,65000,5649150
Hyundai ,IONIQ Electric,9.7,165,250,153,210,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Liftback,C,5,34459,2994832
Volkswagen ,ID.3 Pro S,7.9,160,440,175,590,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,4,40936,3557748
Porsche ,Taycan Turbo S,2.8,260,375,223,780,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,180781,15711677
Volkswagen ,e-Up! ,11.9,130,195,166,170,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,21421,1861699
MG ,ZS EV,8.2,140,220,193,260,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,30000,2607300
Mini ,Cooper SE ,7.3,150,185,156,260,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,4,31681,2753396
Opel ,Corsa-e ,8.1,150,275,164,420,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,29146,2533079
Tesla ,Model Y Long Range Dual Motor,5.1,217,425,171,930,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,7,58620,5094664
Skoda ,Enyaq iV 50,10,160,290,179,230,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,35000,3041850
Audi ,e-tron GT ,3.5,240,425,197,850,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,125000,10863750
Tesla ,Model 3 Long Range Performance,3.4,261,435,167,910,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,D,5,61480,5343227
Volkswagen ,ID.4 ,7.5,160,420,183,560,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,45000,3910950
Volkswagen ,ID.3 Pro,9,160,350,166,490,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,33000,2868030
Volvo ,XC40 P8 AWD Recharge,4.9,180,375,200,470,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,60437,5252580
BMW ,i3 120 Ah,7.3,150,235,161,270,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,38017,3304057
Peugeot ,e-2008 SUV ,8.5,150,250,180,380,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,34361,2986315
Audi ,e-tron 50 quattro,6.8,190,280,231,450,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,67358,5854084
Kia ,e-Niro 64 kWh,7.8,167,370,173,350,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,38105,3311706
Renault ,Zoe ZE50 R110,11.4,135,315,165,230,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,31184,2710201
Tesla ,Cybertruck Tri Motor,3,210,750,267,710,Rapid charging possible,All Wheel Drive,Type 2 CCS,Pickup,N,6,75000,6518250
Mazda ,MX-30 ,9,150,180,178,240,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,32646,2837264
Nissan ,Leaf e+,7.3,157,325,172,390,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,37237,3236268
Lexus ,UX 300e,7.5,160,270,193,190,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,SUV,C,5,50000,4345500
CUPRA ,el-Born ,6.5,160,425,181,570,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,4,45000,3910950
Renault ,Zoe ZE50 R135,9.5,140,310,168,230,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,33133,2879589
Mercedes ,EQA ,5,200,350,171,440,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,45000,3910950
Tesla ,Model S Long Range,3.8,250,515,184,560,Rapid charging possible,All Wheel Drive,Type 2,Liftback,F,5,79990,6951931
Hyundai ,Kona Electric 39 kWh,9.9,155,255,154,210,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,33971,2952420
Audi ,e-tron Sportback 55 quattro,5.7,200,380,228,610,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,81639,7095245
Skoda ,CITIGOe iV ,12.3,130,195,166,170,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,24534,2132250
SEAT ,Mii Electric ,12.3,130,195,166,170,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,A,4,20129,1749411
Kia ,e-Soul 64 kWh,7.9,167,365,175,340,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,36837,3201504
Opel ,Ampera-e ,7.3,150,335,173,210,Rapid charging possible,Front Wheel Drive,Type 2 CCS,MPV,B,5,41906,3642050
Porsche ,Taycan 4S,4,250,365,195,730,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,102945,8946950
Lightyear ,One ,10,150,575,104,540,Rapid charging possible,All Wheel Drive,Type 2 CCS,Liftback,F,5,149000,12949590
Aiways ,U5 ,9,150,335,188,350,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,36057,3133714
Audi ,e-tron 55 quattro,5.7,200,365,237,590,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,79445,6904565
Tesla ,Roadster ,2.1,410,970,206,920,Rapid charging possible,All Wheel Drive,Type 2 CCS,Cabrio,S,4,215000,18685650
Opel ,Mokka-e ,8.5,150,255,176,390,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,35000,3041850
Skoda ,Enyaq iV 80,8.8,160,420,183,560,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,40000,3476400
Tesla ,Model X Long Range,4.6,250,450,211,490,Rapid charging possible,All Wheel Drive,Type 2,SUV,F,7,85990,7473391
Honda ,e Advance,8.3,145,170,168,190,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,35921,3121894
DS ,3 Crossback E-Tense,8.7,150,250,180,380,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,37422,3252346
Renault ,Twingo ZE,12.6,135,130,164,-,Rapid charging not possible,Rear Wheel Drive,Type 2,Hatchback,A,4,24790,2154499
Citroen ,e-C4 ,9.7,150,250,180,380,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,40000,3476400
Tesla ,Model S Performance,2.5,261,505,188,550,Rapid charging possible,All Wheel Drive,Type 2,Liftback,F,5,96990,8429401
Renault ,Zoe ZE40 R110,11.4,135,255,161,230,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,29234,2540727
Tesla ,Model Y Long Range Performance,3.7,241,410,177,900,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,7,65620,5703034
Nissan ,Ariya 87kWh,7.6,160,440,198,520,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,50000,4345500
Jaguar ,I-Pace ,4.8,200,365,232,340,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,75351,6548755
Ford ,Mustang Mach-E ER RWD,7,180,450,200,430,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,54475,4734422
Porsche ,Taycan 4S Plus,4,250,425,197,890,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,109302,9499437
Nissan ,e-NV200 Evalia ,14,123,190,200,190,Rapid charging possible,Front Wheel Drive,Type 1 CHAdeMO,SPV,N,7,33246,2889410
Tesla ,Cybertruck Dual Motor,5,190,460,261,710,Rapid charging possible,All Wheel Drive,Type 2 CCS,Pickup,N,6,55000,4780050
Renault ,Kangoo Maxi ZE 33,22.4,130,160,194,-,Rapid charging not possible,Front Wheel Drive,Type 2,SPV,N,5,38000,3302580
Ford ,Mustang Mach-E ER AWD,6,180,430,209,410,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,62900,5466639
BMW ,i3s 120 Ah,6.9,160,230,165,260,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,41526,3609025
Skoda ,Enyaq iV 80X,7,160,400,193,540,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,45000,3910950
Porsche ,Taycan Cross Turismo ,3.5,250,385,217,770,Rapid charging possible,All Wheel Drive,Type 2 CCS,Station,F,4,150000,13036500
Byton ,M-Byte 95 kWh 4WD,5.5,190,390,244,460,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,64000,5562240
Sono ,Sion ,9,140,225,156,270,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,25500,2216205
Kia ,e-Niro 39 kWh,9.8,155,235,167,230,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,C,5,34400,2989704
Audi ,Q4 Sportback e-tron ,6.3,180,410,188,550,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,57500,4997325
Smart ,EQ forfour ,12.7,130,95,176,-,Rapid charging not possible,Rear Wheel Drive,Type 2,Hatchback,A,4,22030,1914627
Ford ,Mustang Mach-E SR AWD,6,180,340,206,360,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,54000,4693140
Porsche ,Taycan Turbo,3.2,260,390,215,810,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,4,148301,12888840
Volkswagen ,ID.3 1st,7.3,160,340,171,470,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,38987,3388360
Tesla ,Model X Performance,2.8,250,440,216,480,Rapid charging possible,All Wheel Drive,Type 2,SUV,F,7,102990,8950861
Smart ,EQ fortwo coupe,11.6,130,100,167,-,Rapid charging not possible,Rear Wheel Drive,Type 2,Hatchback,A,2,21387,1858744
Ford ,Mustang Mach-E SR RWD,6.6,180,360,194,380,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,46900,4076079
Mercedes ,EQV 300 Long,10,140,330,273,290,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SPV,N,7,70631,6138540
Fiat ,500e Hatchback,9,150,250,168,330,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,4,34900,3033159
Tesla ,Cybertruck Single Motor,7,180,390,256,740,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Pickup,N,6,45000,3910950
Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,470,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,69551,6044677
Skoda ,Enyaq iV vRS,6.2,180,400,193,540,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,C,5,47500,4128225
Skoda ,Enyaq iV 60,9,160,320,181,440,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,C,5,37500,3259125
Audi ,e-tron S 55 quattro,4.5,210,320,270,510,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,93800,8152158
Smart ,EQ fortwo cabrio,11.9,130,95,176,-,Rapid charging not possible,Rear Wheel Drive,Type 2,Cabrio,A,2,24565,2134944
Kia ,e-Soul 64 kWh,7.9,167,365,175,320,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,36837,3201504
Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,207,500,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,57500,4997325
Fiat ,500e Convertible,9,150,250,168,330,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Cabrio,B,4,37900,3293889
Volkswagen ,ID.3 Pro Performance,7.3,160,340,171,470,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,35575,3091823
Kia ,e-Soul 39 kWh,9.9,157,230,170,220,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,33133,2879589
Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,420,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,E,5,53500,4649685
Nissan ,Ariya 63kWh,7.5,160,330,191,440,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,45000,3910950
Audi ,e-tron S Sportback 55 quattro,4.5,210,335,258,540,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,96050,8347706
Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,194,440,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,50000,4345500
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450,Rapid charging possible,All Wheel Drive,Type 2 CCS,Hatchback,C,5,65000,5649150
Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,480,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,E,5,62000,5388420
